instance;time;value
10_ulysses_3.tsp;2.200000047683716;155.87726489473857
10_ulysses_6.tsp;3.4659998416900635;55.11939124322688
10_ulysses_9.tsp;3.3299999237060547;33.29189782877749
14_burma_3.tsp;2.3889999389648438;163.70242632131195
14_burma_6.tsp;4.721999883651733;48.940219095776065
14_burma_9.tsp;9.766999959945679;27.35341881309332
22_ulysses_3.tsp;17.361999988555908;449.80979637932296
22_ulysses_6.tsp;34.20900011062622;169.61221988678562
22_ulysses_9.tsp;36.367000102996826;67.12939628215912
26_eil_3.tsp;40.32099986076355;2558.1046986541674
26_eil_6.tsp;51.704999923706055;1154.3797143610423
26_eil_9.tsp;54.734999895095825;850.4268144747567
30_eil_3.tsp;70.11099982261658;3381.4452268599916
30_eil_6.tsp;53.48900008201599;1601.868361220436
30_eil_9.tsp;90.88100004196167;956.8367614440996
34_pr_3.tsp;93.23900008201599;797988.9831820718
34_pr_6.tsp;209.77300000190735;333159.50676281966
34_pr_9.tsp;222.3309998512268;199765.2794112611
38_rat_3.tsp;159.5730001926422;9603.345799916162
38_rat_6.tsp;271.86299991607666;4641.0676114735315
38_rat_9.tsp;292.6300001144409;3480.155816114636
40_eil_3.tsp;187.6840000152588;7330.292369165788
40_eil_6.tsp;265.02699995040894;3654.0419006101865
40_eil_9.tsp;220.6489999294281;2259.171844220067
44_lin_3.tsp;276.0149998664856;191384.82635592463
44_lin_6.tsp;326.58399987220764;94008.0698862961
44_lin_9.tsp;322.1050000190735;52267.4483876482
48_att_3.tsp;291.2739999294281;794874.8756460114
48_att_6.tsp;204.62999987602234;460640.22906640894
48_att_9.tsp;322.4539999961853;193632.8995574718
52_berlin_3.tsp;315.2109999656677;194020.88128259435
52_berlin_6.tsp;324.9319999217987;82760.82582781996
70_st_3.tsp;324.1489999294281;35225.228147735696
70_st_6.tsp;328.664999961853;17932.34633663194
70_st_9.tsp;351.5220000743866;10486.44017699832
80_gr_3.tsp;327.76199984550476;30297.053538802655
80_gr_6.tsp;356.24900007247925;15218.422343113063
80_gr_9.tsp;372.672000169754;9977.881778144108
100_kroA_3.tsp;340.4060001373291;2.735490469439255e6
100_kroA_6.tsp;413.6470000743866;1.288449235892076e6
